No,Quote,Author
1,"Formal education will make you a living; self-education will make you a fortune.",Jim Rohn
2,"Money is a terrible master but an excellent servant.",P.T. Barnum
3,"The lack of money is the root of all evil.",Mark Twain
4,"Wealth consists not in having great possessions, but in having few wants.",Epictetus
5,"Do not save what is left after spending, but spend what is left after saving.",Warren Buffett
6,"He who loses money loses much; he who loses a friend loses much more; he who loses faith loses all.",Eleanor Roosevelt
7,"Money often costs too much.",Ralph Waldo Emerson
8,"Rich people have small TVs and big libraries, and poor people have small libraries and big TVs.",Zig Ziglar
9,"It's not about how much money you make, but how much money you keep.",Robert Kiyosaki
10,"Annual income twenty pounds, annual expenditure nineteen six, result happiness.",Charles Dickens
11,"The real measure of your wealth is how much you'd be worth if you lost all your money.",Bernard Meltzer
12,"Time is more value than money. You can get more money, but you cannot get more time.",Jim Rohn
13,"Not everything that counts can be counted, and not everything that can be counted counts.",William Bruce Cameron
14,"If you would be wealthy, think of saving as well as getting.",Benjamin Franklin
15,"The art is not in making money, but in keeping it.",Proverb
16,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",Aristotle
17,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",Colin Powell
18,"The only place where success comes before work is in the dictionary.",Vidal Sassoon
19,"Do not pray for an easy life; pray for the strength to endure a difficult one.",Bruce Lee
20,"Hard work beats talent when talent doesn't work hard.",Tim Notke
21,"The man who moves a mountain begins by carrying away small stones.",Confucius
22,"Discipline is the bridge between goals and accomplishment.",Jim Rohn
23,"What we fear doing most is usually what we most need to do.",Tim Ferriss
24,"You don't have to be great to start, but you have to start to be great.",Zig Ziglar
25,"Work hard in silence, let your success be your noise.",Frank Ocean
26,"Without labor nothing prospers.",Sophocles
27,"The world rewards action, not thought.",Naval Ravikant
28,"Stay hungry, stay foolish.",Steve Jobs
29,"A smooth sea never made a skilled sailor.",Franklin D. Roosevelt
30,"Suffer the pain of discipline or suffer the pain of regret.",Jim Rohn
31,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work.",Steve Jobs
32,"Choose a job you love, and you will never have to work a day in your life.",Confucius
33,"The best time to plant a tree was 20 years ago. The second best time is now.",Chinese Proverb
34,"Be so good they can't ignore you.",Steve Martin
35,"Don't be afraid to give up the good to go for the great.",John D. Rockefeller
36,"Opportunities don't happen. You create them.",Chris Grosser
37,"If you don't build your dream, someone will hire you to help build theirs.",Tony Gaskins
38,"The only way to do great work is to love what you do.",Steve Jobs
39,"In the middle of difficulty lies opportunity.",Albert Einstein
40,"It is not the strongest of the species that survives, nor the most intelligent, but the one most responsive to change.",Charles Darwin
41,"If you always do what you've always done, you'll always get what you've always got.",Henry Ford
42,"A person who never made a mistake never tried anything new.",Albert Einstein
43,"The only limit to our realization of tomorrow will be our doubts of today.",Franklin D. Roosevelt
44,"Don't let yesterday take up too much of today.",Will Rogers
45,"What got you here won't get you there.",Marshall Goldsmith
46,"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
47,"I have not failed. I've just found 10,000 ways that won't work.",Thomas Edison
48,"It is not the critic who counts. The credit belongs to the man who is actually in the arena.",Theodore Roosevelt
49,"Success usually comes to those who are too busy to be looking for it.",Henry David Thoreau
50,"Fall seven times, stand up eight.",Japanese Proverb
51,"The only real failure in life is not to be true to the best one knows.",Buddha
